"","author","paper_title","publication_year","aim_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"131","Rockliffe","Investigating the utility of the COM-B and TM model to explain changes in eating behaviour during pregnancy: A longitudinal cohort study",2022,"this study aimed to investigate and compare the utility of the capability-opportunity-motivation behaviour (com-b) and teachable moments (tm) models, to explain health behaviour change during pregnancy, within the context of eating behaviour.","data available upon request","longitudinal","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"7-point likert scale","5-point likert scale",NA,NA,NA,"participants were asked to respond to four statements
assessing their level of concern about their health and that of their baby during their pregnancy","participants were asked to respond to two statements
assessing levels of worry about their health and that of their baby during their pregnancy,",NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19","covid-19",NA,NA,NA,NA,NA,NA,NA,NA,"health; other: pregnancy","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","significant",NA,NA,NA,"participants’ perceived risk towards the health of their baby was significantly higher at t2 than t1","participants’ levels of worry about their health and that of the baby reduced
significantly from t1 to t4  and from t2 to t4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.33 weeks","15.33 weeks",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"pregnant women","pregnant women",NA,NA,NA,"adults","adults",NA,NA,NA,"united kingdom","united kingdom",NA,NA,NA,516,516,NA,NA,NA,1,1,NA,NA,NA,"30",30,NA,NA,NA,4.8,4.8,NA,NA,NA,18,18,NA,NA,NA,45,45,NA,NA,NA
"132","Yilmaz","Psychometric Characteristics of the Penn State Worry 
Questionnaire and Metacognitions Questionnaire-30 and Metacognitive Predictors of Worry and Obsessive–Compulsive Symptoms in a Turkish Sample",2008,"the purpose of the present study was twofold. first, to examine the psychometric properties of the penn state worry questionnaire (pswq) and the metacognitions questionnaire-30 (mcq-30) in a turkish sample. second, to investigate metacognitive predictors of pathological worry and obsessive–compulsive (o–c) symptoms in 
this group.",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"16 items
penn state worry questionnaire",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: questionnaire validation","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r= 0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"turkey",NA,NA,NA,NA,26,NA,NA,NA,NA,0.07,NA,NA,NA,NA,"28.39",NA,NA,NA,NA,4.3,NA,NA,NA,NA,23,NA,NA,NA,NA,46,NA,NA,NA,NA
"133","Grabski","Is approving esketamine as an antidepressant for treatment resistant depression associated with recreational use and risk perception of ketamine? Results from a longitudinal and cross-sectional survey in nightlife attendees",2022,"1) whether the risk perception of recreational ketamine use decreased following esketamine’s approval as an antidepressant, 2) whether past 12 month use and frequency of ketamine use changed after esketamine’s approval in a longitudinal sample, 3) attitudes towards medical and recreational ketamine, 4) risk perception of experiences as a result of ketamine use and actual experiences following ketamine use in this nightlife sample.","data from the electronic music scene survey united kingdom (emss uk), an extension of the emss survey","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"participants assessed the risk of 14 potential experiences as a result of
ketamine use",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drugs; other: esketamine for treating depression","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Wise","Changes in risk perception and self-reported protective
behaviour during the first week of the COVID-19 pandemic in the United States",2020,"the current study, therefore, sought to investigate perceptions of risk and behavioural responses to the pandemic in individuals from the united states during the early stages of the outbreak in march 2020.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"visual analogue scale 0-100",NA,NA,NA,NA,"3 items
risk perception questions asked about the perception of risk in
terms of infection likelihood and severity and asked about multiple hypothetical ‘average’ people in
addition to the subject themselves (for example the average person in the neighbourhood, state and
country).",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: covid-19","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 days",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,375,NA,NA,NA,NA,0.55,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Contreras-Yáñez","Validation of a risk perception questionnaire developed for patients with rheumatoid arthritis",2019,"we developed and validated a risk perception questionnaire for spanish speaking rheumatoid arthritis patients",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"visual analogue scale (vas), 100-milimeter straight line with verbal description at the endpoints: no likelihood - absolute likelihood",NA,NA,NA,NA,"items: likelihood to develop articular and extra-articular manifestation; likelihood to develop complications and/or comorbidities and disease severity; likelihood to develop socioeconomic unfavorable consequences; perception of personal responsibility to prevent and develop ra-related complications; perception of personal control over the disease",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: rheumatoid arthritis","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"icc = 0.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"12.9 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"rheumatoid arthritis outpatients",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"mexico",NA,NA,NA,NA,270,NA,NA,NA,NA,0.97,NA,NA,NA,NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,63,NA,NA,NA,NA
"136","Liu","A longitudinal study of factors associated with perceived risk of recurrence in women with ductal carcinoma in situ and early-stage invasive breast cancer",2010,"we conducted a prospective study to characterize the trend in patients’ perceived risk of recurrence and its relation to a variety of demographic, clinical, and psychosocial factors.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"0% - 100%, percentage scale",NA,NA,NA,NA,"1 item.
to determine their perceived risk of recurrence, we asked patients, ‘‘what do you think the chances are that
you will have this disease again someday? please answer using a percentage scale where 100 means that you will definitely get this disease again and 0 means there is no chance that you will get it again’’",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,"surgical treatment for breast cancer",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer ; other: breast cancer","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as time increased the probability of reporting risk to be under 25% increased and reporting risk to be up to 9% decreased.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"breast cancer patients",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,535,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Tsay-Vogel","Social media cultivating perceptions of privacy: A 5-year analysis of privacy attitudes and self-disclosure behaviors among Facebook users",2018,"this study examines the effects of facebook use on privacy perceptions and self-disclosure behaviors across a 5-year period from 2010 to 2015.",NA,"longitudinal","threat",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"to measure respondents’ perceived threat to privacy on the 
internet, a 10-item scale was adapted from smith et al.’s (1996) information privacy 
scale that tapped into attitudes related to privacy dangers in the virtual environment. 
example items include the following: the internet causes serious privacy problems, 
i am cautious of trusting people online, and the idea of someone stealing my identity 
online worries me",NA,NA,NA,NA,"6",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: social media and online privacy attitudes","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"specifically, threat to general privacy, f(5, 2783)=5.13, p<.05; threat to online privacy, 
f(5, 2783)=4.75, p<.05; and support for governmental privacy protection, f(5, 
2783)=3.22, p<.05, gradually increased between 2010 and 2015.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,2789,NA,NA,NA,NA,0.71,NA,NA,NA,NA,"19.47",NA,NA,NA,NA,1.29,NA,NA,NA,NA,18,NA,NA,NA,NA,25,NA,NA,NA,NA
"138","Lima","On the influence of riskperception on mental health: living near an incinerator",2004,"this paper tests the hypothesis that riskperception of those living near an incinerator has effects on their psychological well being.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"risk perception was assessed by five items. one is a general evaluation of risk(‘‘overall how risky is living
near an incinerator?’’ 1= not at all risky; 5=extremely risky). the other four items concern the perceived
likelihood of the incinerator provoking a series of negative consequences (headaches, respiratory diseases, air pollution and auditory pollution), answered in a 5-
point likert scale (1=i am sure it will not happen; 2=it probably will not happen; 3=it has a 50% chance of happening; 4 = it probably will happen; 5=i am sure that it will happen).",NA,NA,NA,NA,"8",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: wate incinerator and well-being","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2 (before vs. after waste incinerator??)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 waves over 5 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"portugal",NA,NA,NA,NA,906,NA,NA,NA,NA,0.52,NA,NA,NA,NA,"47.05",NA,NA,NA,NA,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Raude","Understanding health behaviour changes in response to outbreaks: Findings from a longitudinal study of a large epidemic of mosquito-borne disease",2019,"in this study, we took advantage of a large epidemic of chikungunya, an emerging mosquito-borne disease, in french guiana to examine the dynamic interaction between risk-related perceptions and behaviours that occurs in response to a disease outbreak. in particular, we tested empirically the assumption that both risk perceptions and health behaviours were elastic with respect to prevalence of chikungunya.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"0-100, and 11-point likert scale",NA,NA,NA,NA,"6 items. 
perceived prevalence of chikv: “among 100 people living in french guiana, how many do you think
have been infected with chikungunya since the beginning of the epidemic? please give a value between 0 and 100.” second, the participants were asked about their personal risk of infection with a series of 5 items (e.g., “what is the risk that you will get the chikungunya before
the end of the epidemic”, “how worried are you about getting chikungunya?“, “how vulnerable do you feel to chikungunya”?).",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: mosquito-borne","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"participants’ perceived personal risk of infection
decreased from a mean of 6.8 in the baseline survey to a mean of 5.9 on
the 11-point response scale in the follow-up (t (419) = 10.48; p < 0.001, d = 0.50).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"french guiana",NA,NA,NA,NA,434,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Szántó","COVID-19 skepticism and the perception of risk",2022,"first, to apply previously established theories and to collect empirical evidence on the antecedents of risk perception in the context of the covid-19 pandemic. second, to extend the existing models on risk perception with an assessment of 
covid skepticism and investigate its role in influencing risk perception and whether it mediates its antecedents. third, to perform a longitudinal analysis on the lasting effects between covid skepticism and risk perception and the potential antecedents of both.","https://osf.io/rsvy6/",NA,"risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"items about (1) general worry, (2) the spread of virus, (3) the seriousness of the sickness, (4) perceived likelihood of close family members 
contracting the virus (5) perceived likelihood of personally contracting the virus, and (6) perceived likelihood of personally getting sick from the virus.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Kim","When beef consumption becomes politicized: Longitudinal change of US beef purchase intention and political values in Korea",2021,"this study identified factors affecting the willingness to purchase us beef in south korea over the decade since the bovine spongiform encephalopathy (bse) crisis in 2008. this study used multiple datasets from previous studies (2008, 2009, 2010, 2011, 2015, 2016, 2018, 2019)",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,"2-point likert scale",NA,NA,NA,NA,"this study used multiple datasets. all of the subsidies used questionnaires to assess risk perception of various risks in daily life",NA,NA,NA,NA,"8",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: beef consumption","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Thomas","Consumer risk perception and trusted sources of food safety information during the COVID-19 pandemic",2021,"the objective of this study was to explore factors influencing change in food handling practices during a pandemic. these factors include risk perceptions and trusted sources of food safety information during the 
covid-19 pandemic.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"scale of 1–100",NA,NA,NA,NA,"these questions included respondents’ risk perceptions of getting covid-19 from other 
people versus from food. respondents who reported that they ordered 
takeout food from restaurants were asked about their risk perception of getting covid-19 from takeout food and packaging.",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: food safety","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"for takeout food overall and hot takeout foods, the survey reported a 
significant decrease in risk perceptions from april to may, but an in­
crease from may to june. for food packaging, the survey reported a 
significant decrease from april to may, and then a significantly lower risk perception in august when compared to april.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 month",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,3584,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Thomas","Do Individual Characteristics Explain Variation in Sanction Risk Updating Among Serious Juvenile Offenders? Advancing the Logic of Differential Deterrence",2013,"important questions in this area remain to be explored, and this study considered a central question: whether important across-individual variability in risk perceptions can be tied to important individual-level factors. this article extends the bayesian risk updating model developed by anwar and loughran (2011) to determine whether the weight individuals place on new offending information differs across persons on the basis of individual characteristics.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"11-point likert scale: 0 (no chance) to 10 (absolutely certain to be caught)",NA,NA,NA,NA,"individuals’ perceived risk was measured in each period by asking them how likely it was that they
would be caught and arrested for the following seven crimes: fighting, robbery with gun, stabbing someone, breaking into a store or home, stealing clothes from a store, vandalism, and auto theft.",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: crime, juvenile offenders","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Crane","Mailed Intervention to Promote Sun Protection of Children",2012,"to test the effectiveness of a partially tailored mailed intervention based on the precaution adoption process model, delivered in the spring over 3 years to parents and children.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"range 0-11",NA,NA,NA,NA,"risk factor awareness was measured by asking parents whether 11 different factors increased, decreased, or had no impact on the chance of someone getting skin cancer. number of correct answers was assessed.",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,"three sets of educational newsletters about skin cancer and sun protection, and related sun protection resources such as a swim shirt, sun hat, sunscreen, and backpack",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: sun protection","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Siegrist","Food disgust sensitivity influences the perception of food hazards: Results from longitudinal and cross-cultural studies",2020,"in the present studies, one of the aims was to examine the association between food disgust sensitivity and perceptions of various food hazards. a broad set of food hazards was selected in order to examine whether the association between disgust sensitivity and perceived risks would be independent of each hazard. in a longitudinal study, panel data were used to examine whether changes in disgust sensitivity would be associated with changes in risk perceptions. another aim of the present study was to examine whether the expected associations could be observed across different cultures.","swiss food panel 2.0","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"6-point likert scale",NA,NA,NA,NA,"participants indicated their risk perceptions related to various food hazards.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"study 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: food saftey","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"0.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult",NA,NA,NA,NA,"switzerland",NA,NA,NA,NA,2813,NA,NA,NA,NA,0.54,NA,NA,NA,NA,"58",NA,NA,NA,NA,16,NA,NA,NA,NA,20,NA,NA,NA,NA,95,NA,NA,NA,NA
"146","Agha","Impact of School-based Peer Sexual Health Intervention on Normative Beliefs, Risk Perceptions, and Sexual Behavior of Zambian Adolescents",2004,"to determine whether adolescents’ normative beliefs about abstinence and condoms, their personal risk perception, and safer sex practices changed after the implementation of a peer sexual health education intervention implemented in zambian secondary schools.","panel data, the zambia peer sexual health intervention implemented by the society for family health (sfh)","longitudinal","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,"respondents were asked if they had ever heard of hiv from peer educators, whether they believed it was possible for healthy-looking persons to have hiv, and whether they believed that aids could be cured. to measure hiv risk perception, they were asked whether they believed that there was any chance they could contract hiv. 4 items",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"sexual health intervention, focusing on promoting abstinence and condom use/safer sex among male and female schoolchildren.",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: hiv","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"baseline - 2nd follow-up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,"zambia",NA,NA,NA,NA,416,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,23,NA,NA,NA,NA
"147","Sorvali","Climate change opportunities reduce farmers' risk perception: Extension of the value-belief-norm theory in the context of Finnish agriculture",2022,"in this article, we extend the study of sorvali et al. (2021, 2022) and apply the theory of value-belief-norm (vbn) (stern, 2000) to deepen the knowledge of finnish farmers pro-environmental behavior. we contribute to previous psychological literature by bringing in perceived opportunities caused by climate change as a new predictive element. furthermore, we aim to compare the results between different farmer groups and between two spaces in time (2018 and 2020).","data available upon request","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,NA,NA,NA,NA,NA,"single statement in relation to the climate change risks to finnish agriculture.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: climate change and agriculture","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
