"","study_id","title","author","paper_title","publication_year","aim_of_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","intervention_duration_1","intervention_duration_2","intervention_duration_3","intervention_duration_4","intervention_duration_5","intervention_interval_1","intervention_interval_2","intervention_interval_3","intervention_interval_4","intervention_interval_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","exposure_duration_1","exposure_duration_2","exposure_duration_3","exposure_duration_4","exposure_duration_5","exposure_interval_1","exposure_interval_2","exposure_interval_3","exposure_interval_4","exposure_interval_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"104","Moodie 2021","The impacts of including information about the number of carcinogens in smoke on standardized cigarette packs in the UK","Moodie","The impacts of including information about the number of carcinogens in smoke on standardized cigarette packs in the UK",2021,"We explored any change in smokers’ knowledge of the number of carcinogens in tobacco smoke following the inclusion of an information message on standardized packs in the UK, if this differed between exclusive cigarette and RYO smokers, and whether accurate knowledge of the number of carcinogens in tobacco smoke mediated risk perception, stubbing out cigarettes early, intentions to quit and actual quitting.","online panel of YouGov,","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"9-point likert
5-point likert",NA,NA,NA,NA,"Participants were asked ‘To what extent do you agree or disagree
with the following statement: The dangers of smoking have been
exaggerated?’ with response options (Strongly agree, Agree, Neither
agree nor disagree, Disagree, Strongly disagree and Don’t know)
collapsed into ‘Disagree or strongly disagree’ vs. ‘Other responses
including don’t know’.",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; health","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Siegrist 2022","The impacts of diet-related health consciousness, food disgust, nutrition knowledge, and the Big Five personality traits on perceived risks in the food domain","Siegrist","The impacts of diet-related health consciousness, food disgust, nutrition knowledge, and the Big Five personality traits on perceived risks in the food domain",2022,"This study examined the effects of psychological traits and nutrition knowledge on perceived risks related to food and nutrition.  We are mainly interested in finding out  whether the Big Five personality traits help provide a better under­standing of why some people are more concerned about food hazards compared with other people.","Swiss Food Panel 2.0","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"6-point Likert scale",NA,NA,NA,NA,"participants indicated their level of risk perception to various hazards about food-related statements",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: food saftey","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"contamination/pathogens scale is higher at t2 than at t1. Lifestyle risks scale did not differ.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Switzerland",NA,NA,NA,NA,2319,NA,NA,NA,NA,0.54,NA,NA,NA,NA,"58",NA,NA,NA,NA,16,NA,NA,NA,NA,20,NA,NA,NA,NA,95,NA,NA,NA,NA
"106","Sawyer 2011","Do cognitive perceptions influence CPAP use?","Sawyer","Do cognitive perceptions influence CPAP use?",2011,"The study purpose was to examine if disease and treatment cognitive perceptions influence short-term CPAP (Continuous positive airway pressure) use",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Functional risks of OSA (e.g., accidents, memory impairment, intimacy/sexual impairment), 2. Health risks of OSA (e.g., cardiovascular)",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,"education program about obstructive sleep apnea (OSA) and continuous positive airway pressure  (CPAP)",NA,NA,NA,NA,"education program",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: mental health","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Albada 2015","Follow-up effects of a tailored pre-counseling website with question prompt in breast cancer genetic counseling","Albada","Follow-up effects of a tailored pre-counseling website with question prompt in breast cancer genetic counseling",2015,"Pre-counseling education helps counselees to prepare for breast cancer genetic counseling and might subsequently result in more positive experiences, improved cognitive outcomes and more experienced control. This study assessed the effects of a website with tailored information and a blanksheet to fill in questions (question prompt; QP), at 1 week and 1 year post-counseling. The present paper focuses on the intermediate and long-term
effects of E-info gene (web-based intervention).",NA,"longitudinal","risk","worry",NA,NA,NA,"questionnaire","scale",NA,NA,NA,"0 to 100%.","4-point response categories (almost never to almost always); One item assessed the extent of the worry (1 not at all to 4 very
much)",NA,NA,NA,"Finally, counselees rated their perceived risk that they would (re-)develop breast cancer on a VAS from 0 to 100%. Risk perception alignment
was defined as the agreement between counselee’s and counselor’s estimation within the categories of breast cancer population risk: slightly increased (<20%), moderate (20–30%) or high risk (30%).This measure of risk perception accuracy was chosen because the surveillance advice is based on these risk categories.","The mean of the four items was computed",NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,"cancer genetic counseling in a web-based intervention setting","cancer genetic counseling in a web-based intervention setting",NA,NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"breast cancer genetic counselee","breast cancer genetic counselee",NA,NA,NA,"adults","adults",NA,NA,NA,"Netherlands","Netherlands",NA,NA,NA,197,197,NA,NA,NA,NA,NA,NA,NA,NA,"41.35",41.35,NA,NA,NA,NA,NA,NA,NA,NA,21,21,NA,NA,NA,69,69,NA,NA,NA
"108","Grant 2014","HIV Risk Perceptions, the Transition to Marriage, and Divorce in Southern Malawi","Grant","HIV Risk Perceptions, the Transition to Marriage, and Divorce in Southern Malawi",2014,"In this paper, we use data from the 2007–2011 survey rounds of the Malawi Schooling and Adolescent Survey (MSAS) to explore the ways in which the timing of marriage has been responsive to the HIV epidemic for a single cohort of youth.","2007–2011 survey rounds of the Malawi Schooling and 
Adolescent Survey (MSAS)","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"great, moderate, small, no chance at all",NA,NA,NA,NA,"“Do you think that your chances of getting HIV/AIDS in the future are great, moderate, small, or that you have no chance at all?”",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; health catastrophe; Other: HIV","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","LEHTO 1994","EXPLORATORY FACTOR-ANALYSIS OF ADOLESCENT ATTITUDES TOWARD ALCOHOL AND RISK","Lehto","Exploratory Factor Analysis of Adolescent Attitudes Toward Alcohol and Risk",1994,"the research discussed in this paper is directed toward this issue of better describing why and upon what basis specific groups of adolescents make alcohol- related decisions in risky contexts. To attain this goal, we measured the perceived value to adolescent subjects of various behaviors with fundamentally different risk characteristics, both with and without the use of alcohol.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"11-point Likert scale",NA,NA,NA,NA,"risk measured through ratings of risk scenarios",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; drugs; health; Other: alcohol","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2; overall risk decreased significantly in alcohol scenarios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"high school students",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,0.47,NA,NA,NA,NA,"14.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Guey 2008","Determinants of participation in a longitudinal two-stage study of the health consequences of the Chornobyl nuclear power plant accident","Guey","Determinants of participation in a longitudinal two-stage study of the health consequences of the Chornobyl nuclear power plant accident",2008,"We examined the factors associated with participation in a longitudinal two-stage study conducted in Kyiv following the 1986 Chornobyl nuclear power plant accident.",NA,"serial-cross sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"risk perception: diagnosed with Chornobyl-related illness, perception that child's health affected by accident, distrust of authorities. 7 items",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chornobyl-power plant accident",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuclear power accidents","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Cox 2008","Supporting breast self-examination in female childhood cancer survivors: A secondary analysis of a behavioral intervention","Cox","Supporting Breast Self-Examination in Female Childhood Cancer Survivors: A Secondary Analysis of a Behavioral Intervention",2008,"To identify intervention targets that will increase the frequency of breast self-examination (BSE) in female survivors of childhood cancer.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point and 4-point Likert scale",NA,NA,NA,NA,"risk = susceptibility, seriousness, 
efficacy",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"cancer counseling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"T0-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"female cancer survivors",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.00 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,18,NA,NA,NA,NA
"112","Maughan-Brown 2017","Accuracy and determinants of perceived HIV risk among young women in South Africa","Maughan-Brown","Accuracy and determinants of perceived HIV risk among young women in South Africa",2017,"We examined the accuracy of HIV-risk perceptions and their correlates among young black women in South Africa, a group with one of the highest HIV incidence rates worldwide.","Cape Area Panel Study (CAPS","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point Likert scale: don’t know, no, small, moderate, or great risk",NA,NA,NA,NA,"1 item
HIV-risk perceptions were assessed in the 2005 and 2009 waves using the question ‘Do you think you have no risk, a small risk, a moderate risk or a great risk of getting the AIDS virus?’",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: HIV","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Lindgren 2017","Information about first-trimester screening and self-reported distress among pregnant women and partners - comparing two methods of information giving in Sweden","Lindgren","Information about first-trimester screening and self-reported distress among pregnant women and partners – comparing two methods of informationgiving in Sweden",2017,"The aim was to examine psychological distress among expectant parents, before and after receiving information about PND, to evaluate the possible differences between two different procedures of information giving, and to
evaluate the association between satisfaction with the information and psychological distress",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"6-point Likert scale, from 0 (not a worry) to 5 (major worry).",NA,NA,NA,NA,"Cancer worry scale: the CWS covers four dimensions of worry: socio-medical, health, relationship and socio-economic",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"information about PND",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: pregnancy-related worry","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2, For CWS, pregnant women had a higher degree of socio-medical and health-related worry than their partners at T1 and T2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 weeks",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"pregnant women and their male partners",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Sweden",NA,NA,NA,NA,380,NA,NA,NA,NA,0.51,NA,NA,NA,NA,"34.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Owens 2021","Black Americans demonstrate comparatively low levels of depression and anxiety during the COVID-19 pandemic","Owens","Black Americans demonstrate comparatively low levels of depression and anxiety during the COVID-19 pandemic",2021,"Thus, our primary aims are to (1) analyze differences in odds of having depression and anxiety among Black and non-Black U.S. adults when state lockdowns were first implemented in March; and (2) explore changes in odds of developing depression and anxiety
among Black and non-Black U.S. adults over time between March and November 2020","Understanding America Study (UAS)","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"visual linear scale 0%-100%",NA,NA,NA,NA,"3 items. 
three risk perception questions asked in the UAS COVID-19 Tracking survey: “What is the chance that you will get the coronavirus in the next three months?”; “If you do get infected with the coronavirus, what is the chance you will die from
it?”; and “What is the percent chance that you will run out of money because of the coronavirus in the next three months?”",NA,NA,NA,NA,"17",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; Other: depression and anxiety","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Quinn 2012","Personal and Contextual Factors in the Escalation of Driving After Drinking Across the College Years","Quinn","Personal and Contextual Factors in the Escalation of Driving After Drinking Across the College Years",2012,"we tested whether personal (i.e., age of drinking onset, gender, risk perceptions, and sensation seeking) and contextual (i.e., college residence) factors were associated with changes in driving after drinking.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"Participants reported their perception of the likelihood of negative outcomes
resulting from driving after drinking",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drugs; Other: driving and drinking","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"USA",NA,NA,NA,NA,1833,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,19,NA,NA,NA,NA
"116","Gutierrez-Dona 2012","Health behavior education, e-research and a (H1N1) influenza (Swine Flu): bridging the gap between intentions and health behavior change","Gutiérrez-Doña","Health behavior education, e-research and a (H1N1) influenza (Swine Flu): bridging the gap between intentions and health behavior change",2012,"This study examined relations between risk perception/self-efficacy and handwashing intentions/behaviors during the A (H1N1)  pandemic influenza. Data were collected from a longitudinal sample of Costa Ricans (NT1/T2 = 449/97).",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point Likert scale",NA,NA,NA,NA,"Items measured absolute risk perception for the peers of getting A (H1N1), absolute risk perception for the peers of getting seasonal flu, absolute risk perception for the self of getting A (H1N1), absolute risk perception for the self of getting seasonal flu, relative risk perception of getting A (H1N1), and relative risk perception of getting seasonal flu. Item examples are: (a) How likely is it that an average 
person of your sex and age will get A (H1N1) influenza virus this year? Response format was 1 = very unlikely to 7 = very unlikely to, (b) How likely is it that you will get A (H1N1) influenza virus this year? Response format was 1 = very unlikely to 7 = very unlikely to, (c) Compared to an average person of my sex and age, my chances of getting 
A (H1N1) influenza virus this year are? Response format was 1 = much below average to 7 = much above average.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A (H1N1) pandemic influenza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; Other: A (H1N1) pandemic influenza","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Costa Rica",NA,NA,NA,NA,97,NA,NA,NA,NA,0.75,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","McComas 2003","Public meetings and risk amplification: A longitudinal study","McComas","Public Meetings and Risk Amplification: A Longitudinal Study",2003,"this study seeks to offer insight into the potential influence of attending public meetings on two specific variables: (1) perceptions of risk associated with a local hazard and (2) belief in the credibility of those managing the risk (i.e., state government agencies and local industry responsible for hazard).",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point Likert scale",NA,NA,NA,NA,"7 items
(1) they had a choice over exposure to the risks from the landfill or waste site, (2) they could control their exposure to the risks, (3) the risks were increasing, (4) the risks posed threats to future generations, (5) they could reduce their exposure to the risks, (6) the risks were the kind that people dread, and (7) they were personally threatened by the risk. While these seven questions did not capture the risk perception model in its entirety, the usefulness of these questions in relation to a single, ongoing risk controversy has been
shown.",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other: hazardous waste site","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year 8 months",NA,NA,NA,NA,"experts",NA,NA,NA,NA,"attendees and nonattendees of public meetings",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Kim 2022","US adult smokers' perceived relative risk on ENDS and its effects on their transitions between cigarettes and ENDS","Kim","US adult smokers’ perceived relative risk on ENDS and its effects on their transitions between cigarettes and ENDS",2022,"This research examines US smokers’ relative risk perceptions and their prospective association with various behavioral stages of switching to ENDS.","Population Assessment of Tobacco and Health (PATH) data (cohort study, unsure if this identifies as panel???)","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"3-point Likert scale, less harmful,” “about the same,” 
or “more harmful.”",NA,NA,NA,NA,"“Is using 
e-cigarettes less harmful, about the same, or more harm-
ful than smoking cigarettes?”",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; Other: electronic nicotine delivery systems","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the proportion of US smokers perceiving ENDS as less harmful than cigarettes continually decreased, 
reaching 17.4% in Wave 5 (2019).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"smokers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"United states of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
