"","Journal","Volume","Issue","Pages","DOI","Abstract","author","paper_title","publication_year","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","item_number_1","item_number_2","item_number_3","item_number_4","item_number_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_yesno_1","intervention_yesno_2","intervention_yesno_3","intervention_yesno_4","intervention_yesno_5","exposure_yesno_1","exposure_yesno_2","exposure_yesno_3","exposure_yesno_4","exposure_yesno_5","domain","health","nature","crime","finance","nuclear","political","social","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","correlation_results_1","correlation_results_1.1","correlation_results_1.2","correlation_results_1.3","correlation_results_1.4","correlation_results_1.5","correlation_results_1.6","correlation_results_1.7","correlation_results_1.8","correlation_results_2","correlation_results_3","correlation_results_4","correlation_results_5","ICC_results_1","ICC_results_1.1","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","sample_category_1","sample_category_2","sample_category_3","sample_category_4","sample_category_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"114","SOCIAL SCIENCE & MEDICINE",285,NA,NA,"10.1016/j.socscimed.2021.114267","The relationships between risk perception and related behavior form a fundamental theme in risk analysis. Despite increasing attentions on the temporal dimension of risk perception and behavior in recent literature, the dynamic relationships between these two constructs remain understudied. Infectious disease outbreaks, such as the Coronavirus Disease 2019 (COVID-19) pandemic, provide a key setting for analyzing evolving perceptions of and responses to natural or human-induced hazards. The main objectives of this research are: (1) to assess temporal changes in cognitive and affective dimensions of perceived COVID-19 risk as well as related protective behavior; and (2) to explore the dynamic relationships between COVID-19 risk perception and behavioral responses. Timely data on changing risk perception and behavior related to the COVID-19 outbreak were collected through two series of online surveys from four major cities (Seattle, Los Angeles, Chicago, and New York City; N = 736) and the central Midwest region of the United States (N = 1240) respectively during March-August 2020. The analysis revealed that: (1) the cognitive and affective dimensions of perceived COVID-19 risk and preventive behavior all changed over time; (2) there were both within- and across-time correlations between COVID-19 risk perception indicators and preventive actions; and (3) preventive actions showed varied feedback effects on individual aspects of perceived COVID-19 risk over time. Findings from this research support and expand major conceptual approaches to changing relationships between risk perception and behavior, particularly the risk reappraisal hypothesis. The study also has useful implications for health risk management and future research directions.","Qin","Exploring the dynamic relationships between risk perception and behavior in response to the Coronavirus Disease 2019 (COVID-19) outbreak",2021,NA,"serial cross-sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe; other: covid-19",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"multiple samples",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,1976,NA,NA,NA,NA,0.5825,NA,NA,NA,NA,"49.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","JOURNAL OF AFFECTIVE DISORDERS",281,NA,"153-159","10.1016/j.jad.2020.12.020","Introduction: The objective of this randomized controlled trial (RCT) was to quantify the effects of eight weeks of World Health Organization and American College of Sports Medicine guidelines-based resistance exercise training (RET) among participants meeting criteria for subclinical, or analogue-GAD (AGAD) Methods: Forty-four participants (mean age (y): 25.4.6 +/- 4.9.2) were randomized to either an eight-week, fullysupervised, one-on-one RET intervention or wait-list control. AGAD status was determined using validated cutscores for both the Psychiatric Diagnostic Screening Questionnaire-GAD subscale (>= 6) and Penn State Worry Questionnaire (>= 45). Remission, based on change in AGAD status, was assessed post-intervention, and quantified with number needed to treat (NNT). Primary analyses focused on participants missing outcome data at <= 1 time point (RET: n=12, Wait-list: n=15). RM-ANCOVA examined differences between RET and wait-list across time. Simple effects analysis decomposed significant interactions. Hedges' d quantified magnitude of differences in change between conditions over time. Results: Attendance was 81% and compliance to the RET was 77%. Participants significantly increased strength (all d >= 1.24, p <= 0.006) with no adverse events. RET improved AGAD status (NNT=3, 95%CI: 2 to 7). Significant group X time interactions were found for worry (F-(3,F-66) = 3.12, p <= 0.043; d=0.93, 95%CI: 0.13 to 1.73) and anxiety symptoms (F-(3,F-57.84)=2.91, epsilon=0.88, p <= 0.045; d=0.71, 95%CI: -0.08 to 1.49). RET significantly reduced worry (mean difference=-6.49, p <= 0.045) and anxiety symptoms (mean difference=-10.50, p <= 0.001). Limitations: Limitations include a small sample size, and lack of attention-matched control condition. Conclusion: RET significantly improved AGAD severity, and elicited large, clinically meaningful improvements in worry and anxiety symptoms among young adults with AGAD.","Gordon","Resistance exercise training among young adults with analogue generalized anxiety disorder",2021,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"16",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"health; other: exercise and anxiety disorder",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"patient",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"ireland",NA,NA,NA,NA,44,NA,NA,NA,NA,0.66,NA,NA,NA,NA,"25.4",NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","SOCIAL DEVELOPMENT",32,"1","188-203","10.1111/sode.12630","Many prosocial behaviors involve social risks such as speaking out against a popular opinion, bias, group norm, or authority. However, little is known about whether adolescents' prosocial tendencies develop over time with their perceptions of social risks. This accelerated longitudinal study used within-subject growth-curve analyses to test the link between adolescents' prosocial tendencies and social risk perceptions. Adolescents completed self-reports annually for 3 years (N = 893; M-age = 12.30 years, 10-14 years at Wave 1, and 10-17 years across the full study period; 50% girls, 33% White non-Latinx, 27% Latinx, 20% African American, 20% mixed/other race). The association between social risk tolerance and prosocial tendencies changed significantly across adolescence. Specifically, for younger adolescents, more prosocial tendencies were associated significantly with less social risk tolerance, whereas for relatively older adolescents, more prosocial tendencies were associated marginally with more social risk tolerance. Additional individual differences by empathy (but not sensation seeking) emerged. These findings suggest that prosocial tendencies across adolescence may be associated with an underlying ability to tolerate social risks.","Armstrong-Carter","Adolescents' perceptions of social risk and prosocial tendencies: Developmental change and individual differences",2023,"data available upon request","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: social risk and prosocial tendencies",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","JOURNAL OF HEALTH PSYCHOLOGY",25,"3","350-360","10.1177/1359105317718057","We evaluated the associations of risk perception, self-efficacy, and trust with two health promotion behaviors (food habits and exercise) and depressive mood. Diabetic patients aged between 40 and 64 (n = 1195) were included in the analyses. Risk perception worsened behavioral changes in terms of food habits and depression, whereas self-efficacy and trust improved food habits, exercise, and depression; trust improved exercise and depression. In conclusion, self-efficacy and trust appear to be more beneficial than risk perception for positive behavioral changes and for improving depression in diabetic patients. However, their influence on behavioral changes may be different according to the types of behaviors.","Imai","Risk perception, self-efficacy, trust for physician, depression, and behavior modification in diabetic patients",2020,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"health; other: behavioral changes in diabetic patients",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","JOURNAL OF BEHAVIORAL MEDICINE",45,"1","124-132","10.1007/s10865-021-00258-2","Young adults are influenced by cigarette package marketing. Pictorial warning labels are a recommended intervention. Evidence demonstrates pictorial warnings impact negative emotion, risk perceptions, and motivation to quit smoking, but there is limited research on their effects over time. This study analyzes data from a randomized trial of young adult smokers (N = 229) exposed to a pictorial or text-only cigarette warning. We assessed changes in fear, anger, risk perceptions, and motivation to quit smoking after 4 weeks using latent change score modeling and over 3 months using latent growth modeling. Latent change results showed exposure was associated with increases in fear, anger, and motivation to quit after 4 weeks. Latent growth showed exposure was associated with increases in motivation to quit smoking over 3 months, but not other outcomes. Findings suggest pictorial warning labels produce an emotional response and increase motivation to quit among young adult smokers.","Johnson","Longitudinal effects of cigarette pictorial warning labels 
among young adults",2022,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"8",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cigarettes ; health",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"young adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,229,NA,NA,NA,NA,0.445,NA,NA,NA,NA,"24.6",NA,NA,NA,NA,3.4,NA,NA,NA,NA,18,NA,NA,NA,NA,"30",NA,NA,NA,NA
"119","JOURNAL OF REFUGEE STUDIES",29,"4","583-606","10.1093/jrs/few012","Can different political ideologies explain policy preferences regarding asylum seekers? We focus on attitudes regarding governmental policy towards outgroup members and suggest that perceptions of threat help to shape these policy attitudes. Study 1 compared public opinion regarding asylum policy in Israel (N = 137) and Australia (N = 138), two countries with restrictive asylum policies and who host a large number of asylum seekers; Study 2, a longitudinal study, was conducted during two different time periods in Israel-before and during the Gaza conflict. Results of both studies showed that threat perceptions of out-group members drive the relationship between conservative political ideologies and support for exclusionary asylum policies among citizens. Perceptions of threat held by members of the host country (the in-group) towards asylum seekers (the out-group) may influence policy formation. The effect of these out-groups threats needs to be critically weighed when considering Israeli and Australian policies towards asylum seekers.","Canetti","Threatened or Threatening? How Ideology Shapes Asylum Seekers’ Immigration Policy Attitudes in Israel and Australia",2016,"midgam panel","longitudinal","threat",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"8",NA,NA,NA,NA,"2",NA,NA,NA,NA,"study 2",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"other: political",0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","AGGRESSIVE BEHAVIOR",40,"3","250-262","10.1002/ab.21516","Two studies tested the prediction that more positive intergroup contact would be associated with reduced aggressive intergroup action tendencies, an effect predicted to occur indirectly via reduced intergroup threat perceptions, and over and above well-established effects of contact on intergroup attitudes. Study 1, using data based on a cross-section of the general population of eight European countries (France, Germany, Hungary, Italy, the Netherlands, Poland, Portugal, and the UK; N = 7,042), examined this hypothesis in the context of aggressive action tendencies towards immigrants. Study 2, using longitudinal data obtained from a general population sample in Northern Ireland, considered effects on aggressive action tendencies between ethno-religious groups in conflict. Both studies confirmed our predictions, showing that while perceived threat was associated with greater intergroup aggressive tendencies, positive intergroup contact was indirectly associated with reduced aggressive action tendencies, via reduced intergroup threat. Findings are discussed in terms of the theoretical contributions of this research for understanding the relationship between intergroup contact and intergroup aggression. Aggr. Behav. 40:250-262, 2014. (c) 2013 Wiley Periodicals, Inc.","Schmid","Reducing Aggressive Intergroup Action Tendencies: Effects of Intergroup Contact Via Perceived Intergroup Threat",2014,NA,"serial cross-sectional","threat",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"study 2",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: aggressive intergroup action",0,0,0,0,0,0,1,1,NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"participants with an immigrant background",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"germany, italy, netherlands, poland, uk, portugal, france, hungary",NA,NA,NA,NA,7042,NA,NA,NA,NA,0.53,NA,NA,NA,NA,"49.36",NA,NA,NA,NA,16.98,NA,NA,NA,NA,16,NA,NA,NA,NA,"98",NA,NA,NA,NA
"121","PLOS ONE",10,"12",NA,"10.1371/journal.pone.0144868","Influenza pandemics can severely impact human health and society. Understanding public perception and behavior toward influenza pandemics is important for minimizing the effects of such events. Public perception and behavior are expected to change over the course of an influenza pandemic, but this idea has received little attention in previous studies. Our study aimed to understand the dynamics of public perception and behavior over the course of the 2009 H1N1 influenza pandemic. Three consecutive cross-sectional surveys were administered among Beijing residents with random-digit dialing techniques in March 2008 and August and November 2009. Effective samples of 507, 508 and 1006 respondents were interviewed in each of the three surveys, respectively. The mean scores of risk perception were low to moderate across the three surveys. The perceived risk of infection of self was significantly lower than that of the community, revealing an optimistic bias. Longitudinally, the perceived risk of contracting H1N1 increased, whereas the perceived risk of being unable to obtain medicine and medical care once influenza permeated the community first increased and then decreased. Responsive actions toward influenza varied. Most respondents took actions that required little extra effort, such as ventilating rooms; these actions did not change over time. Comparatively, a smaller number of respondents took actions for coping with influenza, such as vaccination; however, these actions were taken by an increasing number of respondents over time. The association between risk perception and behavior was unstable. Positive, insignificant, and negative associations were obtained in the three surveys. In conclusion, the evolving patterns of risk perception and responsive behavior over the course of an influenza pandemic are sensitive to how risk and behavior are defined and scoped. © 2015 Xu, Peng.This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Xu","People at Risk of Influenza Pandemics: The Evolution of Perception and Behavior",2015,NA,"serial cross-sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"6",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe; other: h1n1 influenza pandemic",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"china",NA,NA,NA,NA,1006,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","AMERICAN JOURNAL OF HEALTH PROMOTION",22,"4","282-290","10.4278/060829120R2.1","Purpose. To explore psychosocial correlates and predictors of stage transitions in the Precaution adoption process model (PAPM) for fruit intake. Design. A cohort completed three electronic questionnaires, at baseline (time 0), 35 days later (time 1), and another 32 days later (time 2). Setting. Secured Internet Web site. Subjects. A cohort of 735 adults was formed from a random sample of an existing Internet panel. The mean age was 37.5 years, 51% were women, and 90% were of Dutch origin. Most respondents (48%) had a medium level of education. Measures. Precaution adoption process model stage, risk perception, perception of own fruit intake level, attitude, pros, cons, subjective norms, social support, modeling, self-efficacy, and fruit intake (assessed using a food frequency questionnaire). Analysis. Cross-sectional differences in psychosocial variables and fruit intake across PAPM stages at baseline were analyzed using analysis of variance with Tukey multiple comparisons tests. Predictors of PAPM stage transitions between time 0 and time 1 and between time 1 and time 2 were analyzed using logistic regression analysis. Results. Factors related to attitude and social influences may be important if one is to decide to act, whereas strong self-efficacy may also be required for acting on the decision to act. Conclusion. Although the results should be replicated in a larger and more representative sample, the PAPM seems a good framework, for studying fruit intake.","de Vet","Predictors of Stage Transitions in the Precaution
Adoption Process Model",2008,"dutch internet research panel","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"4",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","RISK ANALYSIS",41,"6","958-975","10.1111/risa.13598","Previous studies do not agree on the strengths and directions of the effects between risk appraisal, nonprotective, and protective responses in private flood mitigation. This may be due to the widespread use of cross-sectional survey designs, which infer causality from theoretical considerations alone. The present longitudinal study, in contrast, builds on the logic that cause precedes effect to confirm the direction of effects. Drawing on two-wave survey data from 554 flood-prone households in Austria, cross-lagged autoregressive models analyze pairwise combinations between risk perception, fear, five nonprotective responses (fatalism, denial, wishful thinking, reliance on social support, reliance on public protection), and seven specific protective responses (ranging from coordination with neighbors to structural modifications of the building). These factors show substantial temporal stability, in particular for nonprotective responses and fear. Only in very few instances can effects over time be confirmed statistically. Nonprotective responses emerge as the major drivers; foremost, denial, and reliance on public protection limit private flood mitigation. This overall null finding on causality may trace back to the 1.5 years' time span and the absence of any policy intervention or flood disaster between survey waves, and the high stability of protection motivation theory components. This finding puts into question the theoretically assumed causal relationships and the effects found in cross-sectional studies. The high trait-like stability requires perseverance in risk management efforts to change attitudes and capabilities. Finding nonprotective responses as key determinants in an overall picture of stability suggests that this factor merits a stronger role in future risk research.","Seebauer","(Almost) all Quiet Over One and a Half Years: A
Longitudinal Study on Causality Between Key Determinants of Private Flood Mitigation",2021,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"10",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"natural catastrophe; other: floods",0,1,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"austria",NA,NA,NA,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","BMC PUBLIC HEALTH",22,"1",NA,"10.1186/s12889-022-14168-8","Background Perceived risk reduction motivates smokers to switch to electronic nicotine delivery systems (ENDS). This research examines US smokers' relative risk perceptions and their prospective association with various behavioral stages of switching to ENDS. Methods Data from the nationally representative, longitudinal Population Assessment of Tobacco and Health (PATH) Adult survey, Waves 1 (2014) through 5 (2019), were analyzed. We assessed the association between the perceived risk of ENDS relative to cigarettes (less harmful vs. equally harmful or more harmful) and 1) adoption of ENDS (among never-ENDS-using smokers), 2) complete switching to ENDS (i.e., stopping smoking, among ever-ENDS-using smokers), and 3) avoiding reversion to smoking (among smokers who had switched to ENDS), at the next wave. Results The proportion of US smokers perceiving ENDS as less harmful than cigarettes continually decreased, reaching 17.4% in Wave 5 (2019). Current smokers with such belief were more likely to adopt ENDS (aOR 1.31; 95% CI 1.15-1.50) and switch completely to ENDS (aOR 2.24; 95% CI 1.89-2.65) in the subsequent wave. Among smokers who had switched within the past year, such beliefs predicted avoidance of resumption of smoking in the next wave (aOR 0.55; 95% CI 0.33-0.93). Conclusions Smokers' beliefs about the relative risk of ENDS compared to cigarettes had a strong and consistent association with transitions between smoking and ENDS use. Addressing the growing misperception about ENDS has the potential to contribute to public health by encouraging smokers' switching to ENDS.","Kim","US adult smokers’ perceived relative risk on ENDS and its effects on their transitions between cigarettes and ENDS",2022,"population assessment of tobacco and health (path) data (cohort study, unsure if this identifies as panel???)","longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"cigarettes ; other: electronic nicotine delivery systems",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"smokers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,15431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","RISK ANALYSIS",23,"6","1257-1270","10.1111/j.0272-4332.2003.00399.x","This article offers longitudinal data tracking people who did and did not attend a series of public meetings in an upstate New York rural community grappling with the expansion of an existing solid waste landfill and remediation of an adjacent inactive hazardous waste site. Before and after the public meetings, mailed questionnaires measured risk perceptions and perceived credibility of risk managers (here, the state government agencies and the responsible industry) conducting the meetings. Respondents at each measurement point included meeting attendees and nonattendees, with some fluctuation over time when attendees at one measurement point were nonattendees at the next and vice versa. The results from the first survey indicate that following the first two public meetings, attendees perceived greater risks from the waste sites than did nonattendees; attendees also perceived the risk managers as less credible. After the third public meeting, the results showed that attendees' risk perceptions remained steady; however, perceptions of government agency credibility significantly decreased. After the fourth public meeting, the survey found that attendees' risk perceptions were again not significantly different, whereas perceptions of government agency credibility increased significantly. The industry's credibility also increased, though only among attendees who had attended the most recent public meeting, not among attendees who had attended both the third and fourth public meetings. For nonattendees, risk perceptions and credibility ratings did not change. The discussion examines how distinctive characteristics of communication at each public meeting may have resulted in different effects and proposes hypotheses for future research.","McComas","Public Meetings and Risk Amplification: A Longitudinal Study",2003,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"7",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: hazardous waste site",0,0,0,0,1,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,"experts",NA,NA,NA,NA,"attendees and nonattendees of public meetings",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"belgium",NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
